Patología,Medicamentos,Observaciones,Acciones
Infección urinaria (ITU) baja - Cistitis - Adultos (mujeres sanas),(*) Ciprofloxacino 500 mg.   DI: 500 mg c 12 hrs por 3 días. Cefadroxilo 500 mg. DI: 500 mg cada 12 horas por 3 dias. Cefradina 500 mg. DI: 500 mg cada 12 horas por 3 dias. Cefuroximo 500 mg. DI: 500 mg cada 12 horas por 3 dias. Cefaclor 250 mg. DI: 250 mg cada 8 horas por 3 dias. Nitrofurantoina 100 mg.  DI: 100 mg c 8hrs por 7 días Macrodantina 100 mg. DI: 100 mg cada 12 horas por 7 dias. Paracetamol 500 mg. 1 c 8 hrs en caso de dolor. Ibuprofeno 600 mg. 1 c 8 hrs en caso de dolor. Naproxeno 550 mg.  DI: 550 mg cada 8 horas.,"Pedir: OC + Urocultivo. (2do chorro). Dg: Clinica ITU  + UroC (+)  % E. coli , Proteus, Klebsiella, Pseudomona, Enterococo. (*) En mujeres sanas por 3 dias VO. En hombres o alteracion se da por 7 dias. Cef 1G: Cefadroxilo - Cefradina Cef 2G: Cefuroximo - Cefaclor.",
Infección urinaria (ITU) baja - Embarazadas - Bacteriuria Asintomatica Embarazada,Cefadroxilo 500 mg. DI: 500 mg cada 12 horas por 3 dias VO. Cefradina 500 mg. DI: 500 mg cada 12 horas por 3 días VO. Cefuroximo 500 mg. DI: 500 mg cada 12 horas por3 dias VO.,Contraindicado: Ciprofloxacino. Evitar Nitrofurantoina. (i) Si presenta durante embarazo >=2 cuadros de ITU y/o BA debe hacer Profilaxis hasta el parto. (i) Embarazadas con BA: Pedir Urocultivo (screening / 28 semanas),
Infección urinaria (ITU) baja en niños - Cistitis,(*) Cefadroxilo 250 mg/5ml jarabe. DP: 30-50 mg/kg/dia cada 12 hrs por 7 dias Cefadroxilo 500 mg comprimidos. DP: 30-50 mg/kg/dia cada 12 hrs por 7 dias (ac) Nitrofurantoina 25 mg/5ml jarabe.  DP: 5-7 mg/kg/dia cada 8-12 horas por 7 dias Nitrofurantoina 100 mg comprimidos. DP: 5-7 mg/kg/dia cada 8-12 horas por 7 dias,(i) Todas se estudian: Ecografia renal (Siempre) -> Uretrocistografia (UCG) ->. Cintigrafia DMSA. (i) UROC + : 100.000 (recolector) / 10.000 (sondeo UV) / 1 Puncion vesical. (i) Nitrofurantoina uso > 4 meses. (i) Contraindicadas Ciprofloxacino por alterar cartílago de crecimiento.,
Infección urinaria a repetición en niños ITU-R,(*) Cefadroxilo 250 mg/5ml jarabe. DP: 15 mg/kg/dosis 1 vez al dia por 1 año. Cefadroxilo 500 mg comprimidos. DP: 15 mg/kg/dosis 1 vez al dia por 1 año. (ac) Nitrofurantoina 25 mg/5ml jarabe. DP: 1-3 mg/kg/dosis 1 vez al dia por 1 año. Nitrofurantoina 100 mg comprimidos. DP:1-3 mg/kg/dosis 1 vez al dia por 1 año.,(i) Mas de 3 episodios de ITU en niños. Estudiar con Ecografia renal (siempre) -> UCG -> Cintigrafia DSMA.,
Infertilidad Masculina,"- Testosterona via oral, en caso de ser Hipogonadismo. - Inseminación artificial o fertilización in vitro, en caso de Oligoespermia o Astenoespermia. - Necesidad de Donante o Adoptar, en caso de Azooespermia.","% Hipogonadismo, Pedir TAC cerebral. Prolactinemia (hiperprolactinemia) % Sd. Klinefelter (47 XXY). Dg: Espermiograma. Oligospermia (< 14 Millones/ml esperma), Azoospermia (0%). Astenospermia (poca motilidad).",
Influenza - Neumonitis por Influenza,"(ac) Oseltamivir 75 mg EV DI: 75 mg EV c 12 horas por 5 días. NC: Tamiflu (*) Paracetamol 500 mg.  DI: 500 mg c 8 horas.  DMx: 1gr c 8 horas (3gr/día)   NC: Panadol, Tapsin. Paracetamol gotas. DP: 3-5 gotas por kg, cada 8 horas.  NC: Kitadol gotas, Panadol gotas. Paracetamol jarabe 120-160 mg /5 ml.  DP: 15 – 20 mg/kg/dosis cada 8 horas.  NC: Kitadol infantil. Panadol. + Hospitalizar segun CURB- 65. + Reposo relativo, Régimen papilla, liviano. + Oxigenoterapia Solo si SatO2 < 93% + Rx Tórax portátil + Parámetros inflamatorios. + Paracetamol EV-VO + Salbutamol 2 puff c/6h por AEC + Tromboprofilaxis segun protocolo: PADUA/IMPROVE. + Control signos vitales c/ 6 hrs. + Kinesioterapia respiratoria. + Control de parámetros inflamatorios en 48h.","(i) Contraindicada la Aspirina (Sd. Reye), evitar dar AINE. (i) Oseltamivir: Solo en ADULTOS con factores de riesgo (+65a, Embarazadas, Antec Morbidos (DM2, EPOC, insuficiencias), en casos graves (neumonitis viral por Influenza), y/o en profilaxis (VO) (i) Dosis de Oseltamivir segun tablas.",
Influenza en Niños,"Paracetamol jarabe 120-160 mg / 5 ml DP: 15 – 20 mg/kg/dosis cada 8 hrs. NC: Kitadol infantil. Panadol. Paracetamol 125 mg Sup. Infantil DP: 1 cada 8 hrs. Paracetamol gotas. DP: 3-5 gotas por kg, cada 8 hrs. NC: Kitadol gotas, Panadol gotas. Oseltamivir segun tablas (peso y edad), si es grave o menor de 2 años. - Reposo en casa, para no contagiar. - Alimentación a tolerancia, hidratación abundante. - Aseo nasal frecuente (*Fisiolimp) - Explico a padres la evolución de la enfermedad y complicaciones (fiebre alta por 2-5 dias y CEG). - Medidas de prevención de infecciones respiratorias. - Consulta SOS: progresión de síntomas, fiebre +38.5 más de 3 días, dificultad respiratoria (taquipnea, cianosis, retracción costal), rechazo alimentario o decaimiento.",Dg: Clinico + PCR influenza o IFD. (i) Contraindicado uso de Aspirina. No dar Antitusivos ni mucolíticos.,
Insomnio adultos jovenes,"MG: Higiene del sueño. Diazepam 5-10 mg. DI: 5 mg noche VO. DMX: 30 mg dia. (RR) Clonazepam 0,5 - 2 mg. DI: 0.5 mg noche VO. DMx 4 mg noche. NC: Clonapam, Ravotril, Valpax, Clonex, Neuryl, Acepran 1mg (RR) Alprazolam 0.25-0.5 mg. DI: 0.25 mg noche VO. DMx: 4mg dia. NC: Adax (RR). Midazolam 7.5-15 mg. DI: 7.5 mg noche VO. NC: Dormonid (RR) Zopiclona 7,5 mg DI: 1 comprimido noche por 1 mes. NC: Zonix Eszopiclona 3 mg. DI: 3 mg noche VO. NC: Eszop, Zopinom, Valnoc. Eszopiclona 2 mg. DI: 2 mg noche VO. NC: Noptic, Nirvan. Zolpidem 10 mg. DI: 5-10 mg noche por 1 mes. NC: Somno, Sucedal (RR) Ciclobenzaprina 10 mg. DI: 10 mg noche VO Clorfenamina 4 mg. DI: 4-8 mg en noche VO. Melatonina 3-5mg. DI: 3 mg noche VO. IC a Psicología: Terapia cognitivo conductual.","RR: Benzodiazepinas con Receta Retenida. (i) No usar en embarazo ni lactancia. RR: Zolpidem con Receta Retenida. Higiene de sueño: Actividad durante dia, evitar siestas, establecer horario, evitar comer 2 hrs antes, evitar pantallas o luz, musica o TV en pieza. Evitar Alcohol o drogas.",
Insomnio en adulto mayor,"MG: Higiene del sueño. (*) Zopiclona 7,5 mg   DI: 1 comprimido noche por 1 mes.  NC: Zonix Eszopiclona 3 mg. DI: 3 mg noche VO.  NC: Eszop, Zopinom, Valnoc. Eszopiclona 2 mg. DI: 2 mg noche VO. NC: Noptic, Nirvan. Zolpidem 10 mg.   DI: 5-10 mg noche por 1 mes.  NC: Somno, Sucedal (RR) Clorfenamina 4 mg. DI: 4-8 mg en noche VO. (ac) Melatonina 3-5mg. DI: 3 mg noche VO. IC a Psicología: Terapia cognitivo conductual.","(RR) Zolpidem 10 mg es con Receta Retenida. Dificultad para conciliar o mantener el sueño, despertar precoz. Higiene de sueño: Actividad durante dia, evitar siestas, establecer horario, evitar comer 2 hrs antes, evitar pantallas o luz, musica o TV en pieza. Evitar Alcohol o drogas. (i) Descartar alteración deglución, caídas. (i) No conducir, no tomar alcohol. Evitar Benzodiacepinas en adulto mayor, mas indicado los hipnóticos Z, por cortos periodos de tiempo.",
Intertrigo (Hongo),(*) Terbinafina 1% crema. Uso: cada 12 hrs por 7 dias. NC: Mucivil (ac) Clotrimazol 1% crema. Uso cada 12 hrs por 1-14 dias. Cetirizina 10 mg. DI: 10 mg al dia en caso de prurito. Loratadina 10 mg. DI: 10 mg al dia en caso de prurito.,Compromiso de pliegues por hongo. (i) Manejo de Sudor.,
Intolerancia a la Lactosa - Leche,"Lactasa 9,000 FCC.  DI: 1 comprimido 15 min antes de comer productos lácteos, Masticar. (*) Dieta: alimentos sin lactosa.","% Déficit de Lactasa (enzima). Diarrea crónica, dolor abdominal, distensión abdominal, meteorismo, en relación al consumo de lácteos. Dg: Test de intolerancia a lactosa.",
Intoxicacion por Antidepresivos Triciclicos  (ADTC),"(*) Bicarbonato de Sodio 7.5% (50ml=44,5meq) DI: 1-2 meq/Kg c 4hrs EV, para pH 7.5-7.55","% Amitriptilina - Imipramina, Nortriptilina, Emipramina.",
Intoxicacion por Benzodiacepinas (BZD),"(*) Flumazenil 0,5mg/5ml. DI: 0,2 mg EV c 1 min. DMx: 3mg en 1 hora | DP: 0.01mg/kg c 1 min, max 2mg.",(i) ABCD,
Intoxicacion por Monoxido de Carbono (CO),(*) Oxígeno al 100% con mascarilla por 6 hrs. (ac) Cámara Hiperbárica.,"Evaluar: intubación orotraqueal - Ventilación Mecánica. Hipoxia, compromiso de conciencia, piel rosada. (no tiene cianosis) Dg: Carboxihemoglobina. En caso de contar con C. Hiperbarica es la Elección. (i) Gases arteriales y Saturación: No sirven, estan normales.",
Intoxicacion por Opioides,"(*) Naloxona 0,4mg/ml. DI: 0,4 a 2 mg EV-IM. DMx: 10 mg","(i) ABCD % Morfina, Codeina, Fentanilo, Loperamida.",
Intoxicacion por Paracetamol (Acetominofeno),(*) N-Acetil-cisteina 400mg/2ml. DI: 140mg/kg/dosis inicio y 70mg/kg/dosis c 4hrs por 17 dosis VO o SNG. Carbon activado DI: 1 g/kg c 4 hrs por SNG.,(i) ABCD. Lavado Gastrico - Carbon Activado. Paracetamol Dtx: 6 gr.  DPtx: 150mg/Kg.,
ITU alta - Pielonefritis aguda (PNA) en Menores de 3 meses y/o Graves,(i) Hospitalizar a todo menor de 3 meses con ITU alta o grave. Cefazolina 1 gr ampolla. DP: 50 mg/kg/dosis cada 8 hrs EV. Ceftriaxona 1 gr ampolla. DP: 50 mg/Kg/dia cada 12-24 hrs EV. Cefotaximo 1 gr ampolla. DP: 150 mg/kg/dia cada 8 hrs EV. Amikacina 500 mg/2ml ampolla. DP: 15 mg/kg/dia EV.,"Pedir: Cintigrafia DMSA en PNA aguda en < 1 año, luego DMSA diferida 6-12 meses (cicatriz renal: Daño renal) - Hospitalizar a todo menor de 3 meses con PNA. - Hospitalizar a todo niño con PNA grave: Compromiso de conciencia, Insuficiencia renal aguda IRA, Shock septico. (i) Solo manejo Endovenoso (EV) Estudio una vez estable: Ecografia renal - UCG - DMSA (aguda - diferida)",
Laberintitis aguda,"Hospitalizar (*) Ceftriaxona 1gr EV. DI: 1-2gr EV c 12 hrs. (niños <12 a= adulto) DP: 50mg/kg/dosis c 12 hrs. Dmx 2 gr/d. Paracetamol 500 mg. DI: 1 gr cada 8 hrs VO. Parche ocular, lagrimas artificiales. Prednisona 5 - 20 mg. DI: 20 mg VO. IC a Otorrinolaringólogo - ORL Qx: por especialista. En caso de no responder.","% Complicación de otitis aguda o crónica, OMA - OMC. Dg: Clínica: Parálisis facial periférica + Fiebre + Vertigo periférico, Hipoacusia, con antecedente de otitis previa.",
Ladillas o Piojos genitales - ETS,"MG: Tratar a parejas sexuales, aseo de utensilios, peines, toalla y ropa. Uñas cortas y limpias. (*) Permetrina 1% shampoo. NC: Nolais shampoo 1%. Uso: Lavar cabello y esperar 10 min antes de enjuagar. Secar, remover con peine fino. Repetir a los 7 días. (ac) Cetirizina 10 mg. DI: 10 mg al día en caso de prurito. Desloratadina 5 mg. DI: 5 mg al día en caso de prurito. Loratadina 10 mg. DI: 10 mg cada 12 hrs en caso de prurito. Clorfenamina 4 mg DI: 4 mg cada 8 horas, en caso de prurito. + Estudio ETS: VIH, VDRL, Hepatitis B y C, Gonorrea, Chlamydia. Tratar a parejas sexuales.","% Pthirus pubis. ETS, Tratar a parejas sexuales. (i) Lavar cabello y esperar 10 min antes de enjuagar. Secar, remover con peine fino. Repetir a los 7 días.",
Lago Venoso,MG: Observar + Uso de Bloqueador Solar.,"% Tumor vascular benigno, por el Sol, fotodaño. Nódulo violáceo o azul, puntiforme en Labio (generalmente el inferior).",
Laringitis viral niños,"(*) Adrenalina racemica.  DP: 0.05 ml/Kg en NBZ por 10-15 min a 4-6 Lt/min. Dmx: 3 veces. (*) Dexametasona 8mg/2ml.  DP: 0,15-0,60 mg/Kg/dosis VO-EV-IM (ac) Prednisona 20mg/5ml  DP: 2 mg/kg/Dosis unica VO, por 3 dias.  NC: Cortiprex Betametasona 0.5 mg/ml  DP: 0,4 mg/kg/Dosis unica VO.  NC: Coritex gotas. Paracetamol gotas. DP: 3-5 gotas por kg, cada 8 horas.  NC: Kitadol gotas, Panadol gotas. Paracetamol jarabe 120-160 mg /5 ml.  DP: 15 – 20 mg/kg/dosis cada 8 horas.  NC: Kitadol infantil. Panadol.","% Parainfluenza. (i) fiebre baja, buen estado General, disfonia, tos cruposa.",
"Lavado otico, lavado de oídos, tapón de cerumen","(*) Carbonato de Sodio 10% otico. Uso: 3-5 gotas en oído, cada 6-8 horas al día, por 5 minutos, por 5-7 días. NC: Otoclean gotas oticas 10%. Vaselina liquida. Lavado de oído, idealmente por ORL.","Lavado de oído, idealmente por ORL.",
Lentigo solar,MG: Observar + Uso de Bloqueador Solar.,"% Sol, fotodaño. Mácula, plana, hiperpigmentada, homogénea, en zonas expuestas al sol. ""Mancha de sol"" que no desaparecen al dejar de exponerse. Diferencial, Efélides o pecas: desaparecen al dejar la exposición solar.",
Lesion Cintilla optica - Radiacion optica,Hacer fondo de ojo. Pedir RMN de cráneo. Derivar a Neurología - Oftalmología.,Hemianopsia Homónima contralateral al lado afectado. % Traumatismo. (i) En la radiacion optica genera cuadrantopsias homonima contralateral. (i) Lesion menos congruente que en lesion del lobulo occipital.,
Lesion de lobulo occipital,Hacer fondo de ojo. Pedir RMN de cráneo. Derivar a Oftalmología - Neurología,"Hemianopsia homónima contralateral a lesion, Congruente (Hemianopsia es similar) % Traumatismo craneal.",
Lesion de Quiasma Optico,Fondo de Ojo: Normal Pedir: RNM Craneo o TAC de Silla Turca. Derivar a Neurologia - Oftalmologia.,"Hemianopsia bitemporal. Pedir RNM craneo o TAC de silla turca. % Tumor de Hipofisiario, Traumatismo.",
Lesion del Nervio optico - Defecto pupilar Aferente - Escape pupilar - Pupila de Marcus Gunn,Hacer fondo de ojo y evaluar Reflejo fotomotor. Pedir RMN de cráneo. Derivar a Oftalmología - Neurología,"Amaurosis fugaz unilateral completa post trauma. % Traumatismo, Neuritis optica. RFM (-) del afectado y sin reflejo consensual (bilateral) por Defecto pupilar aferente o escape pupilar.",
Lesion Fasiculo longitudinal medial - FLM,"Pedir RNM craneo Derivar a Neurologia, Oftalmologia.",FLM: mirada hacia medial. Nistagmo a mirada conjugada medial de ojo afectado. Imposibilidad de mirada medial ojo afectado.,
Lesion IV PC Trocelar,Pedir RNM craneo Derivar a Neurologia - Oftalmologia.,"IV PC - Troclear: Mirada infero-medial ""bajar escaleras"". Estrabismo divergente supero - lateral. Imposibilidad mirada infero -medial.",
Lesion Traqueobronquial,Cirugia de urgencia.,Tubo pleural burbujeante continuo. Neumotórax refractario que no responde al tubo pleural.,
Lesion VI PC Abducens,Pedir RNM craneo Derivar a Neurologia - Oftalmologia.,"VI PC - Abducens: Mirada lateral. Estrabismo convergente, Imposibilidad mirada lateral (ojo afectado)",
Lesiones pre malignas de colon,"MG: Observar y seguimiento, si es HNPCC, hiperplásico o Adenomatoso. Qx: Colectomía total profiláctica, si es PAF, polipósico.","Tipos genéticos: Hiperplásico no polipósico (HNPCC), Polipósico familiar (PAF). Resultado segun biopsia a la Colonoscopia. PAF: Evoluciona a cáncer de colon.",
Leucocoria,"Hacer Rojo pupilar. Derivar a Oftalmología, manejo segun causa.","Pupila blanca. Rojo pupilar alterado. % Adultos: Catarata % Niños: Catarata congénita (más frecuente- RN), Retinoblastoma, Persistencia del vítreo 1rio, Retinopatía del prematuro.",
Leucoma,"Tratar causa; en caso agudo. Qx de Transplante de Cornea, si es establecido y grave alteración visión.","Cornea blanca, opacidad focal. % Post ulcera corneal o Queratitis. Dg: Clinico. Tratamiento depende si es agudo o establecido y grave.",
Leucoplaquia – Leucoplasia - Lesión premaligna de lengua,IC a Cirugía - IC a Otorrinolaringólogo ORL Qx: Biopsia. Qx: Crioterapia o Resección por especialista,"Placa blanca en mucosa de lento crecimiento. Mejor pronostico. (i) Factor de riesgo: Tabaco, VIH (+), VPH virus papiloma humano.",
Liquen escleroso o escleroatrofico,"(*) MG: Hidratación cutánea. (*) Betametasona 0,05% tópica.  Uso: cada 12 hrs Clobetasol 0,05% crema topica. Uso: cada 12 hrs dia. (ac) Tacrolimus tópico 0,1%. Uso: c 12 hrs, luego 1/dia 2 por semana. NC: Proalid. PUVA terapia.",% Autoinmune. Placa Blanca y Delgada. Frecuente en zona ano-genital. No afecta mucosas.,
Liquen plano,"(*) MG: Humectar crema. Cetirizina 10 mg.    DI: 10 mg al día en caso de prurito. (*) Betametasona 0,05% tópica.  Uso: cada 12 hrs (ac) Clobetasol 0,05% crema topica. Uso: cada 12 hrs dia. Tacrolimus topico 0,1%. Uso: c 12 hrs, luego 1/dia 2 por semana. NC: Proalid. PUVA terapia.","% Autoinmune. Papulas eritematosas y descamativas, muy pruriginosas en muñeca y tobillo. En 50% afecta mucosa yugal y genital. Placa blanca reticulado ""nervadura de hoja"".",
Liquen simple Crónico,"(*) MG: Prohibir el rascarse, uñas cortas y limpias, lavado de manos. (*) Cetirizina 10 mg.    DI: 10 mg al dia en caso de prurito. (*) Betametasona 0,05% tópica.  Uso: cada 12 hrs (ac) Clobetasol 0,05% crema topica. Uso: cada 12 hrs dia. Loratadina 10 mg.   DI: 10 mg al dia en caso de prurito. Clorfenamina 4 mg    DI: 4 mg cada 8 horas, en caso de prurito.","% Rasquido o grataje crónico con inflamación. Dg: Placas eritematosas y descamativas, hiperpigmentada y/o Liquenificada. Intensamente pruriginosas, con aumento del dibujo cutaneo. En cualquier zona donde se rasque constantemente.",
Loxocelismo Cutáneo (araña de rincón),"MG: Frio local Clorfenamina 10mg/1ml. DI: 10 mg IM-EV DMx: 40 mg. DP: 0,1 mg/kg/Dosis c 8 hr (No en <2 a) Dexametasona 8mg/2ml VO- EV DI: 4-8 mg EV. DP: 0,15-0,60 mg/kg/dosis Hidrocortisona 100mg EV. DI: 100 mg EV. DP: 5 mg/kg/dosis cada 6 hrs EV. Observar y delimitar zona (placa livedoide), control en 30 min - 1 hora. Qx: escarectomía en casos graves.","% Loxoceles laeta (araña de rincon). 90% de picadura de araña. solo un 10% se complica (visceral) (i) Descartar compromiso visceral. Pedir: Orina completa, creatinina, perfil hematologico, P. coagulacion. (i) Prevenir con aseo, y aplicar Hielo desde casa.",
Loxocelismo visceral (araña de rincon),"MG: Frío Local (hielo desde casa), aseo local. S. Fisiológico 1000 cc EV. DI: 80- 100 cc/hr EV, soporte. Evaluar diuresis y exámenes en general. + Hospitalizar urgencia - medicina general - intermedios. + Régimen liviano, libre de alimentos con colorantes. + Reposo relativo + Control de signos vitales cada 6 horas. + Control de diuresis. + Control cada 12 hrs con parámetros inflamatorios, Orina completa, función renal, hemograma, pruebas de coagulación.","% Loxosceles laeta (araña de rincón): 90% de picadura de araña. Solo un 10% se complica (visceral) (i) Descartar compromiso visceral: Hemólisis, insuficiencia renal aguda por hemoglobinuria, Coagulación intravascular diseminada CID. Pedir: Orina completa, creatinina, perfil hematológico, Pruebas de coagulación. (i) Prevenir con aseo, y aplicar Hielo desde casa.",
Lumbago mecánico,(*) Ciclobenzaprina 10 mg.    DI: 5-10mg c 12 hrs -  DMx: 10 mg c 8 hrs (*) Ketorolaco 10 mg.   DI: 10 mg c/8 hrs Naproxeno 550 mg.  DI: 550 mg cada 8 horas. Ketorolaco 30mg/1ml EV.   DI: 1 c 8 hrs.   Dmx: 120 mg dia. (ac) Diclofenaco 75 mg/3ml IM   Uso: 1 IM.    NC: Lertus (ac) Betametasona 4mg/1ml IM.   Uso: 1 IM.,"(i) Calor local, masaje, Kinesiologia Motora, Licencia medica por 5-7 dias. Evitar Ciclobenzaprina en menores de 15 años. Precaución con conductores : Informar somnolencia.",
Lumbociatica,(*) Diclofenaco 75 mg/3ml IM Uso: 1 IM. NC: Lertus (*) Betametasona 4mg/1ml IM. Uso: 1 IM. (ac) Ciclobenzaprina 10 mg. DI: 5-10mg c 12 hrs - DMx: 10 mg c 8 hrs (ac) Ketorolaco 10 mg. DI: 10 mg c/8 hrs Naproxeno 500 mg. DI: 500 mg cada 8 horas. Ketorolaco 30mg/1ml EV. DI: 1 c 8 hrs. Dmx: 120 mg dia.,TAC de columna vertebral para descartar Hernia Nucleo pulposo.,
Lupus Discoide/lupus cutaneo subagudo,"(*) MG: Bloqueador solar, Evitar luz solar. (*) Betametasona 0,05% tópico. Uso: cada 12 hrs. Clobetasol 0,05% tópico.  Uso: cada 12 hrs. (ac) Prednisona 5-20 mg. DI: 1 comp diario VO. + Descartar LES (Anticuerpo anti- RO y LA). Hemograma, Funcion renal, Complementos. + Derivar a Medicina Interna, Dermatología.","% Autoinmune. (i) Descartar LES. Dg: Anticuerpo Anti-RO y Anti-LA, Hemograma, Funcion renal, Complementos. Placas circulares, rojas eritematosas, descamativas, que dejan Cicatriz definitiva (alopecia definitiva). En brazos, cara, tronco, pecho. (i) Empeoran al sol.",
Lupus Eritematoso Sistemico - LES,"MG: Bloqueador solar, (*) Evitar luz solar. Betametasona 0,05% tópico. Uso: cada 12 hrs. Clobetasol 0,05% tópico.  Uso: cada 12 hrs. (*) Prednisona 5-20 mg. DI: 1 comp diario VO. (*) Azatioprina 50 mg. DI: 2 mg/kg/dia. Dividía en 3 tomas. (ac) Metotrexato 2.5 mg. DI: 2.5 mg 1 vez a la semana. DMax: 7.5 mg semanal. + Derivar a Especialista segun compromisos.","% Autoinmune. Criterios (+): Rash malar (""Mariposa Lúpica"" máculas y pápulas eritematosas en mejillas y nariz, respeta surco Nasogeniano), Úlceras orales indoloras, Fotosensibilidad, Lupus discoide. Clínica sistémica: Fiebre, CEG, compromiso renal, hematológico, neurológico. Pedir: Hemograma, Fx Renal, Complemento, Anticuerpos. Inmunomoduladores: para bajar dosis de Corticoides, evitar Cushing",
Malabsorcion intestinal,"Buscar causa segun clinica y tratar. Parasitológico en deposiciones. Colonoscopia + Endoscopia Digestiva alta. (EDA) Test de Sudán (grasa en deposiciones) Test de D-Xilosa (Absorción del intestino). Anticuerpos Anti-Transglutaminasa, Anti Endomisio PCR para Clostridium Difficile o Toxina A y B en deposición.","% Parásitos, E. Celiaca, E. Crohn, Colitis ulcerosa. Pancreatitis crónica, Fibrosis Quística. Diarrea crónica, baja de peso, Esteatorrea, Lienteria, Signos carenciales: Anemia, Piel seca, Queilitis angular, Glositis, Caída de cabello, Uñas quebradizas.",
Malformacion urologica obstructivas en niños,"MG: Observar; variantes anatómicas. Qx en Valvas uretrales- válvulas de uretra posterior, Estenosis uretrovesical, Estenosis pieloureteral.","Clínica: UOB (uropatia obstructiva baja), ITU, ERC post renal, HTA 2ria. (i) Pedir: Ecografia renal (dilataciones). Uretrocistografia (UCG) sirve para RVU y malformaciones. Variantes anatómicas: Riñón en herradura, riñón en L, uréter doble. (i) Causa mas frecuente de malformación en niños: malformaciones urologicas.",
Malformacion Vascular en niños - adultos,(*) MG: Observar Qx Láser por Dermatologo o Cirujano: en caso de complicación o estético.,"% Malformación vascular Están presentes al nacer, crecen a la misma velocidad que el niño. No involucionan (presente en adultos).",
Mancha cafe con leche,MG: Observar y tranquilizar a madre. + Descartar Neurofibromatosis 1 (Antecedente familiar y Clínica: > 6 mácula café con leche).,"Recién nacido asintomático o niño con Mancha o mácula ovalada, de color café claro, grande. Suele ser única. (i) Si son mas o igual a 6 manchas pensar: Neurofibromatosis tipo 1 (% Genetico)",
Mancha mongolica,MG: Observar y tranquilizar a madre.,"% Idiopática - Genética (Mapuche - Asiático). Recién nacido asintomático, con Mácula plana azulada en zona sacra, o glútea, Autolimitada. (i) En zona sacra ante duda solicitar Ecografía sacra, para descartar espina bífida oculta (EBO).",
Mancha Salmon - Picotazo de la cigüeña,MG: Observar porque es autolimitado.,"% Idiopático. Presente al nacer. Mancha roja – rosada (mácula), en línea media del cuerpo. Lugar: cara: frente- párpados y occipital. Desaparece con el tiempo. (i) Con el llanto o el calor se marca más.",
Manejo de Contactos en Meningitis,Rifampicina 20 mg/kg/dia por 4 dias VO (si es por Hib) Rifampicina 20 mg/kg/dia por 2 días VO. (si es por Meningococo) Ciprofloxacino 500 mg VO por 1 vez. Ceftriaxona 500 mg IM por 1 vez.  (elección en embarazada),"% Hib: Haemophilus influenzae tipo B. Meningococo. (i) Ceftriaxona en Embarazadas, contactos con Meningococo.",
Manguito Rotador,"Control del dolor; Tens, Calor local, frio (agudo), Masaje local Restauracion de rango articular: movilidad articular hasta tope doloroso. Mejorar Flexibilidad: elongacion 2 minutos grupo afectado. Aumentar fuerza: Elevar hombros con resistencia, sin dolor. Restarurar actividades de la vida diaria",(i) Manejo de Kinesiologo Motor Imagen: Ecografia articular de hombro.,
Mediastinitis aguda,"(*) Clindamicina 600 mg/4ml IM-EV + Ceftriaxona 1 gr EV o Cefazolina 1 gr EV Metronidazol 500 mg/100 cc IM-EV + Ceftriaxona 1 gr EV o Cefazolina 1 gr EV Qx Mediastínica, si hay perforación esofágica o Absceso para drenar.","% Perforación esofágica iatrogénica (EDA), Cuerpo extraño esofágico, Sd Boerhaave (2ria a vómitos), Absceso cervical o amigdalino. Clínica: Dolor torácico + Sepsis Dg: TAC de Tórax con cte. (i) En Rx de Tórax aparece Neumomediastino que es sugerente.",
Mediastinitis aguda.,"TAC con contraste de tórax y cuello. IC Cirujano, Otorrinolaringólogo - ORL Hospitalizar Ceftriaxona 1gr EV. DI: 1-2gr EV c 12 hrs. (niños <12 a= adulto) DP: 50mg/kg/dosis c 12 hrs. Dmx 2 gr/d. Ceftriaxona 1 gr EV + Cloxacilina 500 mg EV + Clindamicina 600mg/4ml EV Qx: Drenaje.","% Streptococo pyogenes, complicación de absceso amigdalino. Clinica: Dolor torácico, fiebre alta, cuadro séptico, Hipotensión, mala perfusión periférica.",
Melanoma lentigo maligno - Melanoma de buen pronostico,"(*) Qx+ Biopsia; por Dermatologo o Cirujano: Extirpación, según índice de Breslow.","Frecuente en adultos mayores, mácula plana, irregular, crecimiento lento, en zonas de cabeza o cara. ""Melanoma in situ"" con demora en invadir a profundidad: bajo índice de Breslow a la biopsia.",
Melanoma maligno - Cancer de piel,(*) Qx: Dermatologia o Cirujano: Extirpación + Biopsia: segun Índice de Breslow (ac) QxT/RxT Inmunoterapia Paliativo.,"% Sol, aumenta con antecedentes familiares. Mácula o placa hiperpigmentada, Asimetrica, Borde irregular, Color heterogéneo, Diámetro + 6mm, Antecedentes de exposición solar, Familiar. (*) Extirpación Qx según Índice de Breslow. (Factor pronóstico: según invasión en profundidad cutánea). - Breslow < 1 mm: Ampliar borde de Qx en 1 cm. - Breslow > 1 mm: Ampliar borde de Qx en 2 cm.",
Melanosis pustular - acne neonatal - Miliaria rubra,MG: Observar y tranquilizar a madre.,"% Glándula sebácea y sudorípara. Recién nacido asintomático, con múltiples Pústulas puntiformes de contenido amarillo (pus y sudor), en extremidades y pecho, afecta a Palmas y plantas.",
